autocorrelation_strength,baseline,baseline_mae,baseline_mase,baseline_mode,changepoint_density,coefficient_of_variation,context_length,dataset,domain,empirical_coverage_90,failure_delta_005,feature_source,flatness_score,forecast_variance_ratio,horizon,horizon_context_ratio,kurtosis_excess,mae,mase,missingness,origin,regime,relative_error_ratio,rmse,run_id,seasonality_strength,series_id,spectral_entropy,spike_frequency,spike_recall,trend_strength,window_index,zero_ratio
0.999775265534595,auto_ets,119.97373650667669,0.43848087482860715,auto_ets,0.06299212598425197,1.1055068628897424,128,covid_deaths/D/short,Healthcare,0.9,0,computed_from_history_sidecar,0.0,5.638693652124218,30,0.234375,-0.28213067217189813,125.46527913411458,0.4585514043090618,0.0,182,medium_snr_persistent,1.0457728731915525,145.1878244116466,timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619287,0.0,T1,0.3786512856573337,0.015748031496062992,0.0,0.8484132186894865,0,0.046875
0.9993123729210113,auto_ets,23.571151035411745,1.1596249003364647,auto_ets,0.47244094488188976,0.6923018695653227,128,covid_deaths/D/short,Healthcare,0.16666666666666666,1,computed_from_history_sidecar,0.5185795153602878,0.6341555798147145,30,0.234375,1.1867483682261932,35.233576965332034,1.7333787864469727,0.0,182,medium_snr_persistent,1.4947754105176254,40.72823694487552,timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619287,0.0,T2,0.533986039962241,0.0,0.3333333333333333,0.7685692106108303,0,0.0
0.9998677121431518,auto_ets,9.023695024118023,0.034075297178004116,auto_ets,0.07874015748031496,0.5755848390734272,128,covid_deaths/D/short,Healthcare,1.0,1,computed_from_history_sidecar,0.10546223958341983,8.778470676417243,30,0.234375,-0.9691198160924186,30.619437662760415,0.11562518846140989,0.0,182,medium_snr_persistent,3.393226120887188,31.89919171644173,timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619287,0.0,T3,0.40336492604659957,0.023622047244094488,0.3333333333333333,0.9856897598093161,0,0.0
0.999068257981009,auto_ets,0.2999868891399698,0.024316555116389294,auto_ets,0.25984251968503935,0.42835510755338463,128,covid_deaths/D/short,Healthcare,0.8,1,computed_from_history_sidecar,0.0,0.4860671641248483,30,0.234375,0.32480925011014916,0.3987330118815104,0.03232079004498333,0.0,182,medium_snr_persistent,1.3291681280582162,0.5993329578772819,timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619287,0.0,T4,0.37244007208551755,0.03937007874015748,0.0,0.719784482088299,0,0.046875
0.9980968572290279,auto_ets,24.364544754281447,4.286760118346789,auto_ets,0.18110236220472442,1.2174869473554641,128,covid_deaths/D/short,Healthcare,0.03333333333333333,1,computed_from_history_sidecar,0.824316914876387,0.05394053020581186,30,0.234375,1.4487556595270537,30.7670103708903,5.413226241196982,0.0,182,medium_snr_persistent,1.262777970250502,35.534583768172226,timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619287,0.0,T5,0.46045370104268546,0.047244094488188976,0.3333333333333333,0.6639843554495855,0,0.1015625
0.9910893162393865,auto_ets,0.0,0.0,auto_ets,0.023622047244094488,0.47166285187863194,128,covid_deaths/D/short,Healthcare,1.0,1,computed_from_history_sidecar,0.0,4103481.58318024,30,0.234375,0.5490558760657356,0.0015463590621948241,0.0020205758412652633,0.0,182,medium_snr_persistent,1546359062.1948242,0.0019061837140735395,timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619287,0.0,T6,0.3760456159762908,0.023622047244094488,0.0,0.5216925545108925,0,0.171875
0.9998914822515804,auto_ets,657.3462976743956,1.3323392933360352,auto_ets,0.10236220472440945,1.0246779520065477,128,covid_deaths/D/short,Healthcare,0.23333333333333334,1,computed_from_history_sidecar,0.4151556335899763,1.9088799181846412,30,0.234375,0.2836245396144941,850.5544270833333,1.7239422939373845,0.0,182,medium_snr_persistent,1.2939213776550977,1045.494129027013,timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619287,0.0,T7,0.4351013991704681,0.015748031496062992,0.0,0.8473199949405463,0,0.0
0.999867562859192,auto_ets,64.84442189770729,0.4202879197073594,auto_ets,0.007874015748031496,1.1453333591352635,128,covid_deaths/D/short,Healthcare,0.6666666666666666,0,computed_from_history_sidecar,0.0,3.3176325540327145,30,0.234375,-0.5226148389215983,54.84760538736979,0.355493738621839,0.0,182,medium_snr_persistent,0.8458338247488979,65.15796895566294,timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619287,0.0,T8,0.35664733300749374,0.0,0.0,0.8326704492003186,0,0.078125
0.9883687584935313,auto_ets,0.0,0.0,auto_ets,0.023622047244094488,0.39561409887878884,128,covid_deaths/D/short,Healthcare,1.0,1,computed_from_history_sidecar,0.0,2889422.946761219,30,0.234375,1.7257627629060428,0.001957400639851888,0.003044845439764867,0.0,182,medium_snr_persistent,1957400639.851888,0.002238563231682123,timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619287,0.0,T9,0.42647649176316244,0.023622047244094488,0.0,0.4956588342624849,0,0.109375
0.9985761869418304,auto_ets,1.1463255258743505,0.10129837830088047,auto_ets,0.23622047244094488,0.41868665911637937,128,covid_deaths/D/short,Healthcare,0.3,0,computed_from_history_sidecar,0.08087412517164527,0.15017658700364309,30,0.234375,-0.4989742295638422,1.1598135630289714,0.1024902878059776,0.0,182,medium_snr_persistent,1.0117663236569046,1.5430012506578799,timesfm_2_5_m16_covid_deaths_short_auto_ets_oral_sidecar_rerun_1783619287,0.0,T10,0.3375860978701662,0.031496062992125984,0.0,0.7730014914308021,0,0.0
