actual,baseline_context_length,baseline_family,baseline_forecast,baseline_mode,baseline_season_length,context_length,dataset,domain,forecast_mean,forecast_median,forecast_q10,forecast_q20,forecast_q30,forecast_q40,forecast_q50,forecast_q60,forecast_q70,forecast_q80,forecast_q90,full_context_length,horizon,horizon_index,model,model_id,model_version,origin,regime,run_id,series_id,source_commit,window_index
4461.51611328125,87,auto_ets,4103.687235773731,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,2753.2337646484375,2753.2337646484375,964.1868652343751,1615.56865234375,2142.44462890625,2376.57490234375,2753.2337646484375,3110.8201660156246,3771.9037597656243,4601.21923828125,5443.751611328125,87,8,1,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim0,gift-eval:unknown;uni2ts:unknown,0
3017.993896484375,87,auto_ets,4103.687235773731,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,3359.889892578125,3359.889892578125,1304.4490966796875,1859.28876953125,2363.771240234375,2792.6193359375,3359.889892578125,3568.09453125,3929.5810546875,4358.17939453125,4758.43037109375,87,8,2,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim0,gift-eval:unknown;uni2ts:unknown,0
5321.1650390625,87,auto_ets,4103.687235773731,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,2588.5032958984375,2588.5032958984375,592.11796875,1072.74072265625,1796.1485595703125,2148.253759765625,2588.5032958984375,2911.40341796875,3161.304736328125,3486.47451171875,4243.343212890625,87,8,3,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim0,gift-eval:unknown;uni2ts:unknown,0
2720.137939453125,87,auto_ets,4103.687235773731,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,2459.0318603515625,2459.0318603515625,393.3056640625,1365.98984375,1848.6040771484375,2162.168408203125,2459.0318603515625,2986.755908203125,3331.133203125,3527.7912109375,4398.242333984375,87,8,4,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim0,gift-eval:unknown;uni2ts:unknown,0
5501.44921875,87,auto_ets,4103.687235773731,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,2726.344970703125,2726.344970703125,1067.9084716796874,1303.19140625,1894.483154296875,2385.232763671875,2726.344970703125,3122.255224609375,3377.43466796875,3803.29833984375,4163.436962890625,87,8,5,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim0,gift-eval:unknown;uni2ts:unknown,0
2621.52099609375,87,auto_ets,4103.687235773731,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,2681.314208984375,2681.314208984375,1130.4291259765625,1889.6324707031251,2206.752099609375,2421.457177734375,2681.314208984375,2932.115234375,3299.5722412109376,3601.2049804687504,4136.052978515625,87,8,6,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim0,gift-eval:unknown;uni2ts:unknown,0
3374.9150390625,87,auto_ets,4103.687235773731,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,3299.3529052734375,3299.3529052734375,1901.122412109375,2261.268701171875,2586.6442626953126,2904.56591796875,3299.3529052734375,3578.3994140625,3854.808447265625,4174.47412109375,4655.182226562501,87,8,7,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim0,gift-eval:unknown;uni2ts:unknown,0
4996.0908203125,87,auto_ets,4103.687235773731,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,3295.7132568359375,3295.7132568359375,1860.3760498046875,2581.3193359375,2786.1387939453125,3101.3955078125,3295.7132568359375,3783.9068359375,4200.4955078125,4773.64287109375,5553.503027343751,87,8,8,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim0,gift-eval:unknown;uni2ts:unknown,0
1016.5750122070312,87,auto_ets,560.7187432549968,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,567.6172790527344,567.6172790527344,101.38624267578126,262.4498779296875,367.74835205078125,458.0893432617188,567.6172790527344,655.9345703125,754.7569763183593,946.9206420898438,1437.1409790039081,87,8,1,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim1,gift-eval:unknown;uni2ts:unknown,0
2155.3701171875,87,auto_ets,560.7187432549968,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,592.7407531738281,592.7407531738281,94.67523193359375,305.52705078125,365.95732421875,519.2523681640625,592.7407531738281,704.348828125,778.8193908691405,958.3987548828126,1206.4569580078146,87,8,2,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim1,gift-eval:unknown;uni2ts:unknown,0
2161.031982421875,87,auto_ets,560.7187432549968,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,677.1624450683594,677.1624450683594,3.9253540039062553,301.83867187500005,434.80665283203126,564.63837890625,677.1624450683594,774.554833984375,952.2521545410156,1091.00400390625,1876.7587646484376,87,8,3,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim1,gift-eval:unknown;uni2ts:unknown,0
2594.658935546875,87,auto_ets,560.7187432549968,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,615.7428588867188,615.7428588867188,29.280493164062513,281.55478515625003,391.48078002929685,508.62497558593753,615.7428588867188,721.5439453125,1017.9082153320312,1571.7907714843752,2218.7908203125003,87,8,4,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim1,gift-eval:unknown;uni2ts:unknown,0
2628.801025390625,87,auto_ets,560.7187432549968,rolling_pre_origin,8,87,ett1/W-THU/short,Energy,627.7463989257812,627.7463989257812,45.15937500000002,153.82707519531252,384.25958251953125,483.1652465820313,627.7463989257812,804.23095703125,1000.76025390625,1310.7316650390626,2184.8641357421884,87,8,5,moirai_1_1_small,Salesforce/moirai-1.1-R-small,Salesforce/moirai-1.1-R-small,87,external_locked,external_v1_moirai_ett1_w_short_1783883107,item_0_dim1,gift-eval:unknown;uni2ts:unknown,0
